"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jan 15 13:11:01 GMT 2024","Mon Jan 15 13:11:01 GMT 2024","6","","Проверка функциональности логина","","ru.pstest.junit.service.UserServiceTest$LoginTest","loginFailedIfUserNotExists","loginFailedIfUserNotExists(RepetitionInfo) loginFailedIfUserNotExists(RepetitionInfo) :: repetition 7 of 7",""
"passed","Mon Jan 15 13:11:01 GMT 2024","Mon Jan 15 13:11:01 GMT 2024","7","","Проверка функциональности логина","","ru.pstest.junit.service.UserServiceTest$LoginTest","loginParametrizedTestWithCSVSource","Login test with CSV Source [1] Ivan, 123",""
"passed","Mon Jan 15 13:11:01 GMT 2024","Mon Jan 15 13:11:01 GMT 2024","5","","Проверка функциональности логина","","ru.pstest.junit.service.UserServiceTest$LoginTest","loginFailedIfUserNotExists","loginFailedIfUserNotExists(RepetitionInfo) loginFailedIfUserNotExists(RepetitionInfo) :: repetition 2 of 7",""
"passed","Mon Jan 15 13:11:02 GMT 2024","Mon Jan 15 13:11:02 GMT 2024","4","","Проверка функциональности логина","","ru.pstest.junit.service.UserServiceTest$LoginTest","loginFailedIfPasswordIsNotCorrect","loginFailedIfPasswordIsNotCorrect()",""
"passed","Mon Jan 15 13:11:01 GMT 2024","Mon Jan 15 13:11:01 GMT 2024","8","","Проверка функциональности логина","","ru.pstest.junit.service.UserServiceTest$LoginTest","loginParametrizedTest","loginParametrizedTest(String, String, Optional) [2] Petr, 111, Optional[User(id=2, userName=Petr, password=111)]",""
"passed","Mon Jan 15 13:11:01 GMT 2024","Mon Jan 15 13:11:02 GMT 2024","4","","Проверка функциональности логина","","ru.pstest.junit.service.UserServiceTest$LoginTest","loginParametrizedTestWithCSVSource","Login test with CSV Source [2] Petr, 111",""
"passed","Mon Jan 15 13:11:01 GMT 2024","Mon Jan 15 13:11:01 GMT 2024","7","","Проверка функциональности логина","","ru.pstest.junit.service.UserServiceTest$LoginTest","loginSuccessIfUserExists","1. Проверяем успешный логин, если юзер существует",""
"passed","Mon Jan 15 13:11:01 GMT 2024","Mon Jan 15 13:11:01 GMT 2024","5","","Проверка функциональности логина","","ru.pstest.junit.service.UserServiceTest$LoginTest","loginParametrizedTest","loginParametrizedTest(String, String, Optional) [4] dummy, 123, Optional.empty",""
"skipped","Mon Jan 15 13:11:01 GMT 2024","Mon Jan 15 13:11:01 GMT 2024","0","","ru.pstest.junit.service.UserServiceTest","","ru.pstest.junit.service.UserServiceTest","usersConvertedToMapByID","usersConvertedToMapByID()",""
"passed","Mon Jan 15 13:11:01 GMT 2024","Mon Jan 15 13:11:01 GMT 2024","36","","Проверка функциональности логина","","ru.pstest.junit.service.UserServiceTest$LoginTest","loginParametrizedTest","loginParametrizedTest(String, String, Optional) [1] Ivan, 123, Optional[User(id=1, userName=Ivan, password=123)]",""
"passed","Mon Jan 15 13:11:01 GMT 2024","Mon Jan 15 13:11:01 GMT 2024","5","","Проверка функциональности логина","","ru.pstest.junit.service.UserServiceTest$LoginTest","loginFailedIfUserNotExists","loginFailedIfUserNotExists(RepetitionInfo) loginFailedIfUserNotExists(RepetitionInfo) :: repetition 3 of 7",""
"passed","Mon Jan 15 13:11:01 GMT 2024","Mon Jan 15 13:11:01 GMT 2024","6","","Проверка функциональности логина","","ru.pstest.junit.service.UserServiceTest$LoginTest","loginFailedIfUserNotExists","loginFailedIfUserNotExists(RepetitionInfo) loginFailedIfUserNotExists(RepetitionInfo) :: repetition 1 of 7",""
